,LONGITUDE,LATITUDE,DISCOVERY_DATE,CONT_DATE,max_FIRE_SIZE,min_FIRE_SIZE,FOD_ID_cnt,diff_FIRE_SIZE
1069,-117.284119,33.764581,7/18/2004,7/18/2004,0.1,0.1,2,0.0
1070,-121.77305555,39.60305555,6/1/2003,6/1/2003,0.5,0.5,2,0.0
1071,-121.18805555,39.58111111,5/3/2008,missing date,1.5,0.5,2,1.0
1072,-123.20194444,39.70694444,9/3/2003,9/3/2003,1.0,0.1,2,0.9
1073,-118.733333,35.283333,2/27/2020,missing date,1.69,0.5,2,1.19
1074,-122.1,38.433333,6/12/2020,missing date,0.1,0.01,2,0.09000000000000001
1075,-121.363667,38.057723,6/24/2010,missing date,1.0,1.0,2,0.0
1076,-121.279232,37.948802,6/25/2010,missing date,0.1,0.1,2,0.0
1077,-118.0403,34.7045,5/19/2006,missing date,10.0,0.21,2,9.79
1078,-122.4018,40.643119,6/22/2003,6/22/2003,0.1,0.1,2,0.0
1079,-122.92194444,38.31694444,11/7/2006,missing date,0.5,0.3,2,0.2
1080,-117.217511,34.112432,5/23/2017,5/23/2017,0.01,0.01,2,0.0
1081,-120.59666667,41.82944444,7/12/2001,7/12/2001,0.2,0.2,2,0.0
1082,-118.919728,36.01462,5/28/2009,missing date,22.0,1.0,2,21.0
1083,-117.44305555,34.41888888,7/30/2002,7/30/2002,0.5,0.5,2,0.0
1084,-122.246894,38.893736,7/30/2006,7/31/2006,96.0,0.5,2,95.5
1085,-118.3687,33.9621,5/26/2007,missing date,1.21,0.5,2,0.71
1086,-118.0707,34.0909,4/5/2007,missing date,0.11,0.11,2,0.0
1087,-116.88194444,32.845,6/13/2007,missing date,0.3,0.1,2,0.19999999999999998
1088,-122.083333,38.4,6/12/2020,missing date,2.0,1.0,2,1.0
1089,-114.604525,33.654234,7/4/2019,missing date,0.5,0.1,2,0.4
1090,-121.58694444,39.135,8/14/2002,8/14/2002,0.5,0.2,2,0.3
1091,-121.340575,39.551181,9/2/2007,9/2/2007,0.1,0.1,2,0.0
1092,-118.919482,36.053625,11/3/2014,11/3/2014,0.01,0.01,2,0.0
1093,-124.2,41.85611111,9/11/2007,missing date,0.1,0.1,2,0.0
